full_name,age,gender,party,constituency,election_year,result,votes_received,total_votes,vote_percentage,winning_margin,education,profession,total_assets,total_liabilities,criminal_cases_count,affidavit_link,source_url,scraped_timestamp
"DHANAPAL, P",69,Male,AIADMK,AVANASHI (SC) (TIRUPPUR),tamilnadu2021,Won,0,0,0.0,0,,Owner - Sri Balaji Agency,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=68,2026-02-22 12:48:13.136230
MATHIAZHAGAN D,54,Male,DMK,BARGUR (KRISHNAGIRI),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=69,2026-02-22 12:48:21.525340
KARUPPANAN.K.C,64,Male,AIADMK,BHAVANI (ERODE),tamilnadu2021,Won,0,0,0.0,0,,Agriculture and Dairy Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=371,2026-02-22 12:48:25.651577
A.BANNARI,41,Male,AIADMK,BHAVANISAGAR (SC) (ERODE),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=876,2026-02-22 12:48:28.904595
ARUNMOZHITHEVAN. A,52,Male,AIADMK,BHUVANAGIRI (CUDDALORE),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=271,2026-02-22 12:48:32.529271
O.PANNEERSELVAM,71,Male,AIADMK,BODINAYAKKANUR (THENI),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=6,2026-02-22 12:48:35.887527
VARALAKSHMI.M,47,Male,DMK,CHENGALPATTU (CHENGALPATTU),tamilnadu2021,Won,0,0,0.0,0,,"Sole Proprietor - M/s Upshot Utility Services, Partner-M/s Mandater Facility Services, Director-M/s Kiwik Kitchen and Dorm Services Pvt. Ltd.",0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=893,2026-02-22 12:48:39.799924
GIRI.M.P,46,Male,DMK,CHENGAM (SC) (TIRUVANNAMALAI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture & Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=253,2026-02-22 12:48:43.132276
UDHAYANIDHI STALIN,43,Male,DMK,CHEPAUK-THIRUVALLIKENI (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,Private Sector Employee,0,0,22,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=256,2026-02-22 12:48:46.757749
JOTHI. O,50,Male,DMK,CHEYYAR (TIRUVANNAMALAI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=277,2026-02-22 12:48:50.031700
