"PK","SK","age","candidacy_type","candidate_name","candidate_type","constituency_id","createdtime","criminal_cases","district_id","education","election_date","election_expenses","election_type","group_id","income_itr","is_incumbent","is_turncoat","is_winner","itr_history","lastname","margin_percentage","no_terms","other_elections_summary","party_id","person_id","position","profession","profile_pic","profile_url","total_assets","total_liabilities","total_votes","winning_margin","year"
"AFFIDAVIT#2016#649","DETAILS","63","General","STALIN.M.K","GEN","CONSTITUENCY#kolathur","2026-03-01T09:10:57.245570+00:00","6","DISTRICT#chennai","""Category: 12th Pass UG studies, Presidency College in 1973""","null","1102840","Assembly","cyj43svVcVchQ6KTLEp7","1323180","true","false","true","{""self"":{""M"":{""2014 - 2015"":{""N"":""1323180""}}},""dependent3"":{""M"":{""None"":{""N"":""0""}}},""dependent1"":{""M"":{""None"":{""N"":""0""}}},""dependent2"":{""M"":{""None"":{""N"":""0""}}},""spouse"":{""M"":{""2014 - 2015"":{""N"":""444290""}}}}","M.Karunanithi","22.42","6","[{""M"":{""election"":{""S"":""Tamil Nadu 2021""},""assets"":{""S"":""Rs8,88,75,339~8 Crore+""},""cases"":{""S"":""47""},""url"":{""NULL"":true}}}]","PARTY#dravidamunnetrakazhagam","PERSON#31d3da8fce384516560a2b846d2ffce9","1","Public Service","null","https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=649","58402961","0","91303","37730","2016"
"AFFIDAVIT#2021#504","DETAILS","","","M.K. STALIN","null","CONSTITUENCY#kolathur","2026-02-26T13:12:15.686395+00:00","47","DISTRICT#chennai","""Category: Graduate B.Sc. in Political Science from Chennai National College, Chennai University in 1973""","","1453356","","cyj43svVcVchQ6KTLEp7","2878120","true","false","true","{""self"":{""M"":{""2016 - 2017"":{""N"":""1169250""},""2019 - 2020"":{""N"":""2878120""},""2017 - 2018"":{""N"":""1824670""},""2018 - 2019"":{""N"":""1805950""},""2015 - 2016"":{""N"":""864940""}}},""spouse"":{""M"":{""2016 - 2017"":{""N"":""380790""},""2019 - 2020"":{""N"":""473000""},""2017 - 2018"":{""N"":""368020""},""2018 - 2019"":{""N"":""433000""},""2015 - 2016"":{""N"":""429730""}}}}","Karunanithi.M","40.59","7","[{""M"":{""election"":{""S"":""Tamil Nadu 2016""},""assets"":{""S"":""Rs5,84,02,961~5 Crore+""},""cases"":{""S"":""6""},""url"":{""NULL"":true}}}]","PARTY#dravidamunnetrakazhagam","PERSON#31d3da8fce384516560a2b846d2ffce9","1","social service","https://myneta.info/images_candidate/mynetai_ews5TamilNadu2021/b0daf170c5556c6a7b0c407cfe81b23809c7a600.jpg","https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=504","88875339","0","105522","70384","2021"
