State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Tamil_Nadu,10,1,2011,5,4,0,1,SEKAR C H,M,DMDK,97708,31,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,54.4,no,29256,16.29,2.22,AETN186788,Local Party,2956,TRUE,2,DMDK,2956,GUMMIDIPUNDI,FALSE,TRUE,1,FALSE,FALSE,TRUE,Graduate Professional,Business,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,2,SEKAR K N,M,PMK,68452,40,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,38.11,no,66560,37.06,2.22,AETN190544,State-based Party,11891,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,3,SELVAKUMAR R,M,IND,1892,27,SC,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,1.05,yes,9,0.01,2.22,AETN190545,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,4,CHAKRAVARTHI SRIRAMAN B,M,BJP,1883,36,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,1.05,yes,47,0.03,2.22,AETN190546,National Party,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,5,MUNIKRISHNAN G,M,JMM,1836,43,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,1.02,yes,374,0.21,2.22,AETN190547,State-based Party (Other State),4653,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Other,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,6,VELU N,M,IND,1462,36,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,0.81,yes,37,0.02,2.22,AETN190548,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,7,ASOKAN G,M,PB,1425,51,SC,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,0.79,yes,14,0.01,2.22,AETN190549,Local Party,6276,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Social Work,Activist,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,8,RAJA A,M,IND,1411,39,SC,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,0.79,yes,183,0.1,2.22,AETN190550,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,9,SUDHAKAR M,M,RPI,1228,28,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,0.68,yes,231,0.13,2.22,AETN190551,State-based Party (Other State),6911,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Tamil_Nadu,10,1,2011,5,4,0,10,SHANMUGAM P,M,IND,997,30,GEN,179616,215443,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,83.37,0.56,yes,162,0.09,2.22,AETN190552,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
